decade,author,title ,topic ,doc
1720,de perea,carta al padre visitador nicolas de oro ,ethnobotany,book:memories
1921,johnston,expedition of the california academy of sciences to the gulf of california,inventory,book
1944,dawson,the marine algae of the gulf of california.,inventory,book
1944,perez de ribas,triunfos de nuestra santa fe entre gentes las mas barbaras y fieras del nuevo orbe,ethnobotany,book:memories
1946,setchell w,the genus ruppia,inventory,chapter
1960,dawson,"symposium: the biogeography of baja california and adjacent seas part ii. marine biotas a review of the ecology, distribution, and affinities of thembenthic flora",ecology,chapter
1970,den-hartong,seagrasses of the world ,distribution,book
1973,felger y moser,eelgras (zostera marina) in the gulf of california: discovery of its nutritional value bye the seri indians,ethnobotany,paper 
1976,"felger, r.s. & c.h, lowe",the island and costal vegetation and floral,floristic list,book
1976,daryl,an ecological model for late tertiary sirenian evolution in the north pacific ocean,paleoecology,paper
1976,edwards,ecology of a coastal lagoon complex in mexico,ethnobotany,paper
1976,felger ,the gulf of california: an ethno-ecological perspective,ethnobotany,paper 
1977,edwards t.s. & felger r.s.,indian utilization of eelgrass (zostera marina l.) in northwester mexico: the spanish colonial record.,ethnobotany,chapter
1979,mcmillan & phillips,halodule wrigthii in the sea of cortez,record,paper
1979,mcmillan & phillips,differentiation in habitat responses among populations of new world seagrass,ecology,paper
1980,phillips & mcroy,handbook of seagraa biology: an ecosystem perspective.,ecology,book
1980,felger,seagrasses in seri indian culture.,ethnobotany,paper
1982,paul y bowers,the ecology and penaeus fisheries of a coastal lagoon system,ethnobotany,paper
1983,phillips y backman ,phenology and reproductive biology of eelgrass zostera marina at bahia de kino,phenology & reproduction,paper
1983,mc millan,seed germination for an annual form of zostera marina form the sea of cortez,reproduction,paper
1983,"phillips r., grant w. s., mcroy c.p",reproductive strategies of eelgrass  zostera marina ,reproduction,paper 
1984,phillips ,the ecology of eelgrass meadows of the pacific northwest: a community profile,ecology,book
1985,aguilar-rosas y lopez-ruelas,halodule wrightii en la bahia de topolobampo,record,paper
1985,"valencia, m.e., j.l. atondo y g. hernandez.","nutritive value of zostera marina and cardon (pachycereus pringlei) as consumed by the seri indiands in sonora, mexico",ethnobotany,paper 
1986,oliva-martinez y ortega,la vegetacion sumergida en la laguna agiabampo,ecology,chapter
1987,"ezcurra e., r.s., felger, russell a.d. & m. equihua.","freshwater islands in a desert sand sea: the hydrology, flora, and phyteogrpgraphy of the gran desierto oases of nothwestern mexico.",ecology,chapter
1988,flores-verdugo,"phytoplankton production and seasonal biomass variation of seagrass, ruppia maritima l., in a tropical mexican lagoon with an ephemeral inlet",ecology,paper
1991,"edwards, p.g., r.s. felguer, a. burquez, d.s. turner ","cienega de santa clara: endangered wetland in the colorado river delta, sonora, mexico",conservation,paper
1991,backman,genotypic and phenotypic variability of zostera marina on the west coast of north america,genetic,paper 
1993,ibarra-obando y rios,ecosistemas de fanerogamas marinas,ecology,book
1994,ramirez garcia y lot ,"la distribucion del manglar y de los pastos marinos en el golfo de california, mexico",distribution,paper
1995,"flores-verdugo f.j., r., dueñas-briseño, gonzales-farias f. & o. calvario martinez.","balance de carbono en un ecosistema lagunar estuarino de boca efimera de la costa noroccidental de mexico (estero el verde) en: temas de oceanografia biologica en mexico, volumen 2 (de la rosa et al.)",ecology,chapter
1996,riosmena-rodriguez y sanchez-lizaso,limite sur de zostera marian y phillospadix torelli ,distribution,paper
1996,romeu,pastos marinos: una cuna para la biodeiversidad ,conservation,paper 
1996,santamaria-gallegos ,"ciclo de crecimiento y fenologia de la fanerogama zostera marina en punta arena, bahia concepcion, b.c.s, mexico ",phenology & reproduction,thesis _master
1997,leon de la luz et al ,"floristic composition of the san jose del cabo oasis, baja california sur, mexico",floristic list,paper
1997,sanchez-lizaso y riosmena-rodriguez,macroalgas epifitas de zostera marina en bahia concepcion b.c.s. mexico,inventory,paper
1999,santamaria-gallegos ,temporal coincidense of the annual eelgrass zostera marina and juvenile scallops,ethnobotany,paper
1999,meling.lopez-ibarra-obando,annual life cycles of two zostera marina population in the gulf of california,reproduction,paper
1999,zetina-rejon ,"influencia de la pesca de camaron en la estructura del ecosistema lagunar huizache caimanero, sinaloa mexico",ethnobotany,thesis _master
2000,torre-cosio,"inventario y monitoreo del canal del infiernillo para el comanejo de los recursos marinos en el territorio seri, golfo de california",ecology,report
2000,torre-cosio ,"marine inventory and selection of monitoring species in the seri indian territory, gulf of california, mexico",ecology,paper
2000,santamaria-gallegos ,phenology and growth cycle off annual subtidial eelgrass in a subtropical locality,phenology & reproduction,paper 
2002,bourillon-moreno,"exclusive fishing zone as a strategy for managing fishery resources by the seri indians, gulf of california, mexico",ethnobotany,dissertation 
2002,torre-cosio et al ,"extent, stability, and distributional patterns of the annual eelgrass zostera marina atam in the canal del infiernillo, gulf of california, mexico",distribution,paper
2002,torre-cosio y bourillon-moreno. ,"impacts of the swimming crab (callinectes bellicosus) fishery in the canal de
infiernillo, gulf of california, mexico",ethnobotany,paper
2002,seminoff et al ,"first direct evidence of migration by an east pacific green seaturtle from michoacan, mexico to a feeding ground on the sonoran coast of the gulf of california",indirect observation,paper 
2004,brusca et al,a seashore guide to the northern gulf of california,floristic list,book
2005,muñiz-salazar et al,population genetic structure of annual and perennial populations of zostera marina along the pacific coast of baja california and the gulf of california ,genetic,paper
2006,ulloa et al ,planeacion ecorregional para la conservacion marina ,conservation,report
2006,santamaria-gallegos ,occurence and seasonality of halophila decipiens in the gulf of california,record,paper
2007,wilder et al ,"new plant discovery for sonora islands, gulf of california mexico ",floristic list,paper 
2007,orduña-rojas y riosmena-rodriguez,"inventario de la macrofauna marina de interes economico de las islas del norte de sinaloa, mexico",inventory,taxonomic list 
2008,conanp,estudio previo justificativo para estableciemiento del area natual protegida,conservation,jts
2008,danemann y ezcurra,humedales de bahia de los angeles ,conservation,book
2008,basurto ,biological and ecological mechanisms supporting marine self-governance: the seri callo de hacha fishery in mexico,ethnobotany,paper 
2010,brusca et al,the gulf of california: biodiversity and conservation,conservation,book
2010,lopez-calderon et al ,outstanding appearance of ruppia maritima along baja,distribution,paper 
2012,perez-estrada et al. ,cyanobacteria and macroalgae from an arid environment mangrove on the east coast of the baja california peninsula,indirect observation,paper 
2012,lopez-calderon,areas criticas para la conservacion del pastos marino zostera marina en lagunas costeras del noroeste de mexico”,conservation,thesis _master
2013,riosmena-rodriguez et al ,conservation status of zostera marina populations at mexican pacific,conservation,chapter
2013,"felger r.s., b-t., wilder & romero-morales h.",plant life of a desert archipielago: flora of the sonora islands in the gulf of california. ,floristic list,book
2013,"lopez-calderon, j., r. riosmena-rodriguez, j. torre y a. meling-lopez",el pasto marino en el golfo de california: estado actual y amenzas,conservation,paper 
2013,"alvarez-romero j., m.m., mancha-cisneros, suarez a. & j. torre","red de reservas marinas para la region de las grandes islas, gc. protocolo del proyecto planeacion y reporte de los talleres. ",conservation,report
2014,lopez-calderon et al ,la planta acuatica ruppia maritima en el noroeste de mexico: aumento de su presencia y efectos en la cadena trofica. ,distribution & ecology,chapter
2014,"hinojosa-arango g., r., rioja.nieto, a. suarez-castillo, riosmena-rodriguez, r.","using gis methods to evaluate rhodolith and sargassum beds as critical habitats for commercially important marine species in bahia concepcion, b.c.s., mexico",conservation,paper
2016,torre-cosio ,"inventory, monitoring and impact assessment of marine biodiversity in the seri indian territory, gulf of california, mexico",ecology,dissertation
2016,conanp,fichas de evaluacion ecologica,conservation,file
2016,lopez-calderon,zostera marina meadows from the gulf of california conservation status,conservation,paper
2016,talbot et al ,the structure of genetic diversity in eelgrass (zostera marina l.) along the north pacific and bering sea coasts of alaska,genetic,paper 
2016,santamaria-gallegos ,"estudio de las praderas de fanerogamas marinas en baja california sur(mexico): ciclo de vida y estrategias reproductivas de zostera marina, halodule wrightii y halophila decipiens.",phenology & reproduction,thesis_phd
2017,campos-davila et al,"seagrass halodule wrightii as a new habitat for the amphioxus branchiostoma californiense (cephalochordata, branchiostomidae) in the southern gulf of california, mexico",ecology,paper 
2017,garcia-trasviña ,caracterizacion y cuantificacion de biomasa de tres especies de pastos marinos en el caimancito,ecology,thesis_bachelor
2018,herrera et al ,base de datos de almacenes de carbono en los pastos marinos de mexico ,ecology,paper
2018,"barreras-apodaca, a. y sanchez-mejia, z. m.",eddy covariance observations of semiarid seagrasses from the gulf of california,ecometeorology,paper
2018,barreras-apodaca a.,flujos de materia y energia de praderas de pastos marinos del estero el soldado,ecometeorology,thesis _master
2018,corona-melendez,fauna asociada a praderas de pasto marino halodule wrightii,ecology,thesis_bachelor
2019,lopez-verdugo,retos en la germinacion de zoster marina,reproduction,thesis_bachelor